epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5790.94,0.77782,0.64102,1.10454,0.95069,0.98631,0.99147,0.81473,0.73209,0.53274,1.00605,0.0004588,0.0004588,0.0004588
43,5928.24,0.74686,0.61129,1.08318,0.95365,0.97828,0.98959,0.81388,0.69519,0.51024,0.98181,0.0004456,0.0004456,0.0004456
44,6065.31,0.76018,0.60413,1.10247,0.94166,0.95381,0.97803,0.79648,0.71624,0.51424,0.99474,0.0004324,0.0004324,0.0004324
45,6200.61,0.71977,0.6267,1.07692,0.90445,0.94359,0.97391,0.81219,0.7333,0.55336,1.00328,0.0004192,0.0004192,0.0004192
46,6335.53,0.68953,0.54874,1.05169,0.96544,0.96452,0.97971,0.82124,0.67543,0.50561,0.97076,0.000406,0.000406,0.000406
47,6470.61,0.72773,0.59847,1.06778,0.92305,0.97188,0.97912,0.81354,0.66188,0.50087,0.98656,0.0003928,0.0003928,0.0003928
48,6604.89,0.73964,0.57453,1.07854,0.96907,0.93959,0.97667,0.83152,0.64777,0.51575,0.96027,0.0003796,0.0003796,0.0003796
49,6739.42,0.75636,0.56519,1.0888,0.96962,0.90395,0.97336,0.81469,0.67975,0.57892,0.95925,0.0003664,0.0003664,0.0003664
50,6873.79,0.72849,0.56778,1.06634,0.9643,0.93661,0.96831,0.8258,0.66657,0.54595,0.95665,0.0003532,0.0003532,0.0003532
51,7008.03,0.69891,0.55355,1.06958,0.96767,0.96452,0.98129,0.84434,0.66029,0.48764,0.96602,0.00034,0.00034,0.00034
52,7142.61,0.75505,0.57891,1.08901,0.97027,0.93888,0.97943,0.83553,0.64819,0.46326,0.96112,0.0003268,0.0003268,0.0003268
53,7280.4,0.7205,0.55966,1.08357,0.9626,0.93888,0.9791,0.82532,0.62635,0.44908,0.94683,0.0003136,0.0003136,0.0003136
54,7416.84,0.6744,0.51092,1.03949,0.95373,0.96253,0.98751,0.84197,0.65615,0.43085,0.95356,0.0003004,0.0003004,0.0003004
55,7552.96,0.71285,0.55409,1.05662,0.97091,0.96817,0.9867,0.8222,0.69258,0.44601,0.9707,0.0002872,0.0002872,0.0002872
56,7693.42,0.70724,0.54836,1.05923,0.95499,0.98441,0.98194,0.82596,0.65024,0.44274,0.95659,0.000274,0.000274,0.000274
57,7829.48,0.63054,0.50879,1.01672,0.96548,0.98173,0.98311,0.82428,0.6248,0.43207,0.94055,0.0002608,0.0002608,0.0002608
58,7963.77,0.67776,0.51799,1.0317,0.9637,0.98237,0.98909,0.82674,0.61193,0.42312,0.93237,0.0002476,0.0002476,0.0002476
59,8099.85,0.66387,0.49783,1.03972,0.96409,0.97984,0.98952,0.83237,0.5991,0.41117,0.91208,0.0002344,0.0002344,0.0002344
60,8234.03,0.6622,0.47957,1.03934,0.95469,0.97734,0.98681,0.8331,0.61016,0.40241,0.91677,0.0002212,0.0002212,0.0002212
61,8369.63,0.62859,0.47033,1.00168,0.94758,0.97622,0.98577,0.85334,0.58736,0.39851,0.90657,0.000208,0.000208,0.000208
62,8508.17,0.61632,0.46422,1.03379,0.97225,0.97734,0.98646,0.84057,0.59613,0.41539,0.91819,0.0001948,0.0001948,0.0001948
63,8644.42,0.64755,0.48051,1.02484,0.97848,0.97412,0.98487,0.84499,0.58185,0.41351,0.91292,0.0001816,0.0001816,0.0001816
64,8782.18,0.66172,0.48932,1.04693,0.96603,0.97316,0.98512,0.86833,0.58015,0.41555,0.90327,0.0001684,0.0001684,0.0001684
65,8919.61,0.59234,0.47294,1.01747,0.96593,0.96781,0.98609,0.85964,0.58779,0.41839,0.89593,0.0001552,0.0001552,0.0001552
66,9056.45,0.59714,0.43751,1.00307,0.96275,0.97258,0.98751,0.86111,0.57802,0.40537,0.89254,0.000142,0.000142,0.000142
67,9191.7,0.54331,0.39849,0.9572,0.95987,0.97734,0.98574,0.86087,0.57548,0.39913,0.89893,0.0001288,0.0001288,0.0001288
68,9326.03,0.55299,0.41145,0.99324,0.95602,0.97026,0.98448,0.86123,0.56631,0.39843,0.89384,0.0001156,0.0001156,0.0001156
69,9460.94,0.53499,0.39581,0.95081,0.96486,0.97729,0.98367,0.85932,0.55977,0.39547,0.89081,0.0001024,0.0001024,0.0001024
70,9595.47,0.52961,0.3822,0.96711,0.96059,0.97007,0.98329,0.86569,0.55128,0.39063,0.8835,8.92e-05,8.92e-05,8.92e-05
71,9730.72,0.55533,0.40943,0.98445,0.9573,0.96706,0.98375,0.86362,0.55815,0.39198,0.8863,7.6e-05,7.6e-05,7.6e-05
72,9865.36,0.56477,0.41572,0.9993,0.95342,0.96452,0.98448,0.85717,0.55798,0.38657,0.88528,6.28e-05,6.28e-05,6.28e-05
73,10000,0.50682,0.38548,0.95477,0.94934,0.97244,0.98575,0.86333,0.54951,0.38642,0.87865,4.96e-05,4.96e-05,4.96e-05
74,10134.7,0.51649,0.37954,0.96485,0.95068,0.97401,0.9848,0.86557,0.53954,0.38261,0.87436,3.64e-05,3.64e-05,3.64e-05
75,10269.5,0.51717,0.37792,0.95764,0.96079,0.97734,0.98593,0.86879,0.54111,0.38218,0.87642,2.32e-05,2.32e-05,2.32e-05
